region,republican,democrat
alabama,52,35
alaska,39,32
arizona,40,39
arkansas,46,38
california,30,49
colorado,41,42
connecticut,32,50
delaware,29,55
district of columbia,11,73
florida,37,44
georgia,41,41
hawaii,28,51
idaho,49,32
illinois,33,48
indiana,42,37
iowa,41,40
kansas,46,31
kentucky,44,43
louisiana,41,43
maine,36,47
maryland,31,55
massachusetts,27,56
michigan,34,47
minnesota,39,46
mississippi,44,42
missouri,41,42
montana,49,30
nebraska,47,36
nevada,37,46
new hampshire,35,44
new jersey,30,51
new mexico,37,48
new york,28,53
north carolina,41,43
north dakota,50,33
ohio,42,40
oklahoma,45,40
oregon,32,47
pennsylvania,39,46
rhode island,30,48
south carolina,43,39
south dakota,53,37
tennessee,48,36
texas,39,40
utah,54,30
vermont,29,57
virginia,43,39
washington,33,44
west virginia,43,41
wisconsin,42,42
wyoming,57,25
